"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","HTTP Code","Execution Date"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_44_20"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_44_20"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_44_20"
"Flow","TestCase1","Groovy Script","groovy","OK","","Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_45_06"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_45_06"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_45_06"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_45_06"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_45_06"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_45_06"
"Flow","TestCase1","Groovy Script","groovy","OK","","Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_53_18"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_53_18"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_53_18"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_53_18"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_53_18"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_53_18"
"Flow","TestCase1","Groovy Script","groovy","OK","","Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 14_25_50"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 14_25_50"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 14_25_50"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 14_25_50"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 14_25_50"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 14_25_50"
"Flow","TestCase1","Groovy Script","groovy","OK","","Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 15_51_53"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 15_51_53"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 15_51_53"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 15_51_53"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 15_51_53"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 15_51_53"
"Flow","TestCase1","Groovy Script","groovy","OK","","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","TestCase1","TestCase1","TestCase1","TestCase1","TestCase1","TestCase1","Auth","TestCase1","TestCase1","TestCase1","TestCase1","Auth","Auth","Auth","Auth","restrequest","Auth","Auth","Auth","restrequest","Auth","Auth","restrequest","restrequest","restrequest","OK","restrequest","OK","restrequest","OK","restrequest","restrequest","OK","restrequest","OK",""OK",""OK","OK","OK","""OK",""""""",",",",",",",",",","[HTTP/1.1 200 OK]","[HTTP/1.1 200 OK]","[HTTP/1.1 200 OK]","[HTTP/1.1 200 OK]","[HTTP/1.1 200 OK]","[HTTP/1.1 200 OK]","[HTTP/1.1 200 OK]","[HTTP/1.1 200 OK]","[HTTP/1.1 200 OK]","[HTTP/1.1 200 OK]","23-Jul-2024 09_02_29"
"23-Jul-2024 09_02_29"
"23-Jul-2024 09_02_29"
"23-Jul-2024 09_02_29"
"23-Jul-2024 09_02_29"
"23-Jul-2024 09_02_29"
"23-Jul-2024 09_02_29"
"23-Jul-2024 09_02_29"
"23-Jul-2024 09_02_29"
"23-Jul-2024 09_02_29"
"Flow","Flow","Flow","Flow","Flow","Flow","Flow","TestCase1","TestCase1","TestCase1","TestCase1","Flow","TestCase1","Flow","TestCase1","Flow","TestCase1","CreateBooking","CreateBooking","CreateBooking","CreateBooking","CreateBooking","TestCase1","CreateBooking","TestCase1","CreateBooking","TestCase1","restrequest","restrequest","restrequest","restrequest","restrequest","restrequest","CreateBooking","CreateBooking","restrequest","CreateBooking","OK","OK","OK","OK","OK","restrequest","restrequest","OK","OK","restrequest",""""""OK","OK","""OK",",",",",",""","","[HTTP/1.1 200 OK]","[HTTP/1.1 200 OK]","[HTTP/1.1 200 OK]","[HTTP/1.1 200 OK]","[HTTP/1.1 200 OK]",",",","23-Jul-2024 09_02_29"
"[HTTP/1.1 200 OK]","23-Jul-2024 09_02_29"
"23-Jul-2024 09_02_29"
"[HTTP/1.1 200 OK]","23-Jul-2024 09_02_29"
"23-Jul-2024 09_02_29"
"[HTTP/1.1 200 OK]","[HTTP/1.1 200 OK]","Flow","[HTTP/1.1 200 OK]","Flow","23-Jul-2024 09_02_29"
"Flow","23-Jul-2024 09_02_29"
"Flow","Flow","23-Jul-2024 09_02_29"
"23-Jul-2024 09_02_29"
"TestCase1","23-Jul-2024 09_02_29"
"Flow","TestCase1","TestCase1","Flow","TestCase1","TestCase1","Flow","Auth","Flow","Flow","TestCase1","Auth","Auth","Auth","TestCase1","Auth","TestCase1","restrequest","TestCase1","TestCase1","Auth","restrequest","restrequest","Auth","restrequest","restrequest","Auth","OK","Auth","Auth","restrequest","OK","OK","restrequest","OK","restrequest","OK",""OK","restrequest","restrequest","""OK",""OK",""OK","","OK",",","","","","[HTTP/1.1 200 OK]",""[HTTP/1.1 200 OK]","[HTTP/1.1 200 OK]","[HTTP/1.1 200 OK]",",","[HTTP/1.1 200 OK]","[HTTP/1.1 200 OK]",","23-Jul-2024 09_02_29"
","23-Jul-2024 09_02_29"
"23-Jul-2024 09_02_29"
"23-Jul-2024 09_02_29"
"[HTTP/1.1 200 OK]","23-Jul-2024 09_02_29"
"23-Jul-2024 09_02_29"
"[HTTP/1.1 200 OK]","[HTTP/1.1 200 OK]","Flow","Flow","[HTTP/1.1 200 OK]","Flow","Flow","23-Jul-2024 09_02_29"
"Flow","Flow","23-Jul-2024 09_02_29"
"23-Jul-2024 09_02_29"
"TestCase1","TestCase1","TestCase1","TestCase1","23-Jul-2024 09_02_29"
